obs_len	avg_train_loss	avg_test_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement
2	0.862918501922	10.457887264092763	1.28135636878	2.14361797806	3.41687569402	5.97787613241
3	0.630083789321	8.415480260849	1.11244642136	1.8433205134	2.95969061203	5.20152464807
4	0.49105353735	9.052375206580528	0.955034570612	1.60010149844	2.96901251403	5.03869976408
5	0.42721264628	8.89338177839915	0.934650899877	1.54853624056	2.82587393963	4.79638138858
6	0.393503490622	5.113343311392742	0.848778508413	1.43226317751	2.12809914724	3.60202081248
7	0.362165378394	4.239505400783138	0.797197278212	1.3563731859	1.92781647146	3.25163028609
8	0.324735726365	2.9558606105191365	0.780893039694	1.32861335196	1.60419654988	2.72491226947
9	0.330040032536	2.306660366555055	0.751680300035	1.28073822928	1.4041910507	2.40762220094
10	0.316366603752	2.1436204639348118	0.749819605188	1.27213249232	1.36823564713	2.23396799649
11	0.326037433854	1.9231627119912043	0.754361899597	1.27029936841	1.32554490927	2.22332263427
12	0.310443698898	1.9089466109871864	0.759130986592	1.26626311275	1.34113601586	2.29470870844
