obs_len	avg_train_loss	avg_test_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement
2	0.0619289434721	0.4449953313709961	0.420849860188	0.497505039377	0.644498621879	0.806351467233
3	0.0390972944532	0.3763544044416884	0.353661417989	0.41187940835	0.598109034858	0.754653048376
4	0.031070264221	0.3544214237199137	0.310311553186	0.360524003003	0.562507456553	0.71247446619
5	0.0218142043814	0.3831860351538847	0.29245908677	0.338229108838	0.606385663637	0.733275856572
6	0.0197401481875	0.36985541729866955	0.272918463258	0.317445319069	0.562579278921	0.67708454496
7	0.018338885945	0.36439005282145365	0.262153281547	0.304828572509	0.555718615301	0.66336874589
8	0.0206669124471	0.4241183773778817	0.255465829787	0.297589061966	0.598417629867	0.734912320898
9	0.0163180031162	0.3656330814828043	0.244634733347	0.28462165758	0.529642979074	0.629505716064
10	0.0156670248031	0.6626680613851842	0.240498256634	0.279195500258	0.659117190931	0.770396449371
11	0.0154133380405	0.5819248722892412	0.231656488284	0.267803642174	0.699247972544	0.840258300921
12	0.0159371939413	0.3871339855094751	0.236084585169	0.273308253663	0.58401154006	0.72351849621

