obs_len	avg_train_loss	avg_test_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement
2	0.28904529368	2.0730805482183183	0.778767500168	1.17302985862	1.47502497807	2.54889131513
3	0.180733673145	2.0102493325332262	0.654525641729	0.983254239742	1.42377674812	2.43941487958
4	0.129606800477	2.006787962773267	0.569959289268	0.851385084504	1.36105679168	2.25802504792
5	0.110301693873	1.2860133311022883	0.5088806942	0.77011308925	1.11887275658	1.82421637807
6	0.100655983963	1.7311577765661994	0.482487887277	0.730598331141	1.20021735011	1.87451291118
7	0.0905470805552	1.1764314695143363	0.45171675535	0.690452101078	1.01619503603	1.68427678448
8	0.0832373486742	1.6246959552168847	0.44420268408	0.678508280278	1.19670915146	1.86830987081
9	0.0790848609699	1.4347027361392974	0.432353497587	0.66064278258	1.14615850157	1.81690246591
10	0.081494748072	1.0026150330519066	0.43318410696	0.66093453131	0.970663226372	1.57355485784
11	0.0832359002465	1.8346210688352584	0.426845172237	0.653543626088	1.20657949716	1.87248019552
12	0.0799927639991	2.3021134241767554	0.428414610958	0.653996119441	1.33336764655	2.00278335678
