./txtfiles/gru_em64rnn128_diff_observed_len_lr_0.0008_epochs_5_predlen_2.txtobs_len	avg_train_loss	avg. test loss	avg train dispacement	final train displacement	avg test displacement	final test displacement
./txtfiles/gru_em64rnn128_diff_observed_len_lr_0.0008_epochs_5_predlen_2.txtobs_len	avg_train_loss	avg. test loss	avg train dispacement	final train displacement	avg test displacement	final test displacement
2	0.453012717471	1.9708368654052417	1.14039173572	1.25520610376	1.79536105251	2.20465449381
3	0.489906481815	1.7410857953887056	1.18697936042	1.30411241016	1.64668153535	2.04148708121
4	0.370581029867	1.0840738314119251	1.11303904497	1.23030352949	1.21549276347	1.4960568627
5	0.302940904328	0.9689164310693741	1.01484471617	1.12324559301	1.12581536792	1.37599563051
6	0.277163645553	1.133398702915977	1.00388639497	1.10478826339	1.22721736809	1.49253722848
7	0.228014986498	0.8828346060739981	0.951277126031	1.04697799456	1.06347951599	1.29343168627
8	0.202578559059	0.6899562480987287	0.934386444065	1.02525892166	0.922282789829	1.13555181564
9	0.189924851716	0.8696453125904435	0.930347147685	1.01488359032	1.05685424056	1.26294601752
10	0.141359063004	0.7462571252275396	0.830644451964	0.907660091293	0.891260149217	1.04564067044
11	0.165050693294	0.822161005206511	0.862669217555	0.941133210263	0.987713419798	1.1840712739
12	0.166161173719	1.0888131412367026	0.905056365889	0.984009746981	1.06323215953	1.24472079742
