obs_len	avg_train_loss	avg_test_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement
2	0.150421666626	1.0501226210458712	0.605771463339	0.843680575442	1.02524512944	1.61443073282
3	0.0944485867224	1.0752253330179624	0.51922138333	0.710311510798	0.961477281759	1.50091291454
4	0.0684317710833	0.9759735851979056	0.436451600482	0.599150166117	0.983144680139	1.47306418325
5	0.0577648927594	0.8419354584839966	0.403056570136	0.553622794793	0.932911606333	1.3868610395
6	0.0495274759748	0.8366575792577922	0.365900496253	0.507200644716	0.83017070611	1.22178908217
7	0.0429512217472	0.7433048287487548	0.346363524295	0.48117105339	0.784489916631	1.13757845731
8	0.0427802416862	0.6845880538961033	0.347107136418	0.480487559339	0.764472431353	1.11902251474
9	0.0424767366382	0.5068383855404148	0.336122101205	0.466763859962	0.693277185556	1.00817110273
10	0.0467742267612	0.7536092109978199	0.336331142568	0.469121928958	0.842645123905	1.20455680005
11	0.0418336243085	0.8626134347915649	0.339920528203	0.472348642734	0.884536842313	1.27323142491
12	0.0375731170857	1.1831009078484316	0.335737312846	0.465240361935	0.976992446926	1.38201553259
