Dataset: eth ;Number of epochs: 100
obs_len	pred_len	avg_train_loss	avg_test_loss	std_train_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement	Num_train_peds	Num_Test_peds
2	2	0.05264229302361808	0.4230977781375663	0.01900915828453759	0.43989894001328855	0.5204180920956618	0.5991002275670744	0.7388793089278618	52002	4312
2	3	0.10013844341456149	0.7744005223655183	0.03723783026673185	0.5260226349383921	0.6859028267235473	0.8379146250750106	1.178072645991597	50473	3957
2	4	0.14675028160722417	1.2243144322525372	0.05583434286753519	0.6156837567134716	0.8577140778845556	1.0823133584807823	1.638891066339981	48962	3606
2	5	0.2221825822019485	1.6410791672884473	0.07316666720952489	0.7054377031343445	1.0265845106039042	1.2545589702113236	2.0383644512299472	47451	3257
2	6	0.3049526066662131	2.4435740974770876	0.09855874446891953	0.813898612431473	1.2284310816179729	1.5820715953752287	2.6444538227608465	45954	2916
2	7	0.37173628022113797	3.222684524617754	0.12439359221329478	0.8715451081203673	1.345755630941153	1.8314303007310664	3.175602134511397	44472	2577
2	8	0.46562778097660207	3.829363658732059	0.15389088851281377	0.9816974980786801	1.5502937382164534	1.9926017871296855	3.465247826428337	43010	2248
2	9	0.6146611255365652	5.820531940978507	0.19200332302417028	1.0753596021153986	1.7285414826490317	2.5351620718477186	4.443468939572044	41567	1924
2	10	0.6317447502283449	7.492748041211823	0.20163636459237033	1.157768128978516	1.8922375909976537	2.870358693555361	5.027012912514302	40154	1621
2	11	0.7473404348859353	8.63363134693092	0.2450677898704348	1.2272517143909618	2.0378033751256175	3.111370441137489	5.4834152671847765	38763	1335
2	12	0.8592968910753008	10.62205335299174	0.27641857892400673	1.2938334825083597	2.1642121594969317	3.427223192293679	5.974760842933574	37395	1069
Dataset: eth ;Number of epochs: 100
obs_len	pred_len	avg_train_loss	avg_test_loss	std_train_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement	Num_train_peds	Num_Test_peds
3	2	0.038961608437184964	0.3786673337977002	0.017695859225279522	0.390805958854962	0.45401686418589055	0.5723671852907289	0.7054397414449151	50473	3957
3	3	0.05926711882718585	0.606855964965441	0.018809049679399007	0.4547642880536392	0.5823295296269503	0.7300516992956954	1.0325001092793211	48962	3606
3	4	0.09135920648249991	1.3353436580962605	0.03558042768271548	0.5214175078038075	0.714542707392915	1.0185247895356095	1.4785792788242775	47451	3257
3	5	0.14268630602901136	1.7751157887342597	0.04171746108304458	0.6131536345597748	0.8774827018903743	1.2474683717631863	1.9793170985719106	45954	2916
3	6	0.2045324318549799	2.097194658474879	0.0635421525047207	0.7109698600398762	1.0522683596237634	1.437524622017517	2.38456651036966	44472	2577
3	7	0.2298486117788281	2.8715879893770406	0.07397494343771231	0.7545948329899589	1.1589275247585027	1.6148057178575652	2.753053983054544	43010	2248
3	8	0.30631203873382584	3.434607702995772	0.0925459146301215	0.8520525736427844	1.3277284931546856	1.8503747119201899	3.2432827994330764	41567	1924
3	9	0.3750742684868311	5.432030554170962	0.11306049123048638	0.9137568967119335	1.45751875436073	2.3247404388183543	4.0001215557235374	40154	1621
3	10	0.45350806590131376	6.90924359207422	0.15198715162481505	0.9954588843276694	1.6135796722596727	2.6439540659456937	4.603086280574149	38763	1335
3	11	0.5657133805644081	9.008005499839783	0.18072159353414902	1.1174431531507063	1.8283566073834332	3.150434177775732	5.367497496082789	37395	1069
3	12	0.6857210314808158	9.964657623767852	0.2146471320715112	1.1889218073028156	1.9594063173478873	3.303430021834034	5.777015743442759	36061	825
Dataset: eth ;Number of epochs: 100
obs_len	pred_len	avg_train_loss	avg_test_loss	std_train_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement	Num_train_peds	Num_Test_peds
4	2	0.030600262401305665	0.4109213234800281	0.01061376205788376	0.3455065799530529	0.3989263315880471	0.6015052691021526	0.7217922457812029	48962	3606
4	3	0.04863594207855224	0.7928772613642707	0.016714749003305666	0.4015832770512526	0.5134377410499862	0.8187809542421326	1.1352014303480618	47451	3257
4	4	0.06773110183973846	0.9629021454759005	0.02148961186303494	0.47817035747761066	0.649589012991879	0.9048551247671213	1.3600395563174463	45954	2916
4	5	0.09357210104085674	1.7584721237958014	0.031928149573239764	0.5195171139741648	0.7476914383078027	1.203124535283048	1.8749417826464612	44472	2577
4	6	0.13953826336442365	2.378523745957543	0.044601399228495264	0.6192405347173724	0.9193451345920984	1.4514521068348476	2.3313154434464654	43010	2248
4	7	0.18983763709039123	2.604386638040128	0.06106213152512023	0.6917472214749064	1.0593421388722213	1.541436014097017	2.6154067236908256	41567	1924
4	8	0.2247170411253129	3.2768453006391174	0.07979091512880158	0.7387405284304741	1.1636841268631588	1.714918826365116	2.9255493136279616	40154	1621
4	9	0.3227273305651025	4.453878270908141	0.10558727270997696	0.8519231828786573	1.343441539242286	2.093007014050046	3.579824346663256	38763	1335
4	10	0.3675421494541757	6.395134585102399	0.13285044495803833	0.9223830851272228	1.4897397613510917	2.5062070753733035	4.210851009076356	37395	1069
4	11	0.42956706873462225	7.3781158518791194	0.13479804299472306	0.9791173479713583	1.6028600336271766	2.7218525434779077	4.652979528595906	36061	825
4	12	0.529803297798785	9.158252453192686	0.17394731020014603	1.0720086259251556	1.7692990713039327	3.011849411196146	5.10382789349878	34764	614
Dataset: eth ;Number of epochs: 100
obs_len	pred_len	avg_train_loss	avg_test_loss	std_train_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement	Num_train_peds	Num_Test_peds
