obs_len	avg_train_loss	avg_test_loss	avg_train_dispacement	final_train_displacement	avg_test_displacement	final_test_displacement
2	0.429266238771	4.02253346992474	0.94784786735	1.51067565439	2.10037689941	3.6906490242
3	0.302640558133	3.9559173030049903	0.789224452849	1.24710342353	1.95852885202	3.39793391448
4	0.223331862895	3.8334156723670016	0.706249003295	1.11559292077	1.88164127417	3.16478872751
5	0.192045827488	2.5665139127785053	0.633211810463	1.00972361342	1.56136709017	2.68433638257
6	0.168331875623	2.4062560697396598	0.597669188456	0.956949083935	1.4719959917	2.58050354873
7	0.174383401456	1.898026010096073	0.601115360443	0.956917135734	1.30591901852	2.23139012731
8	0.149065580278	2.153609044276751	0.552921927992	0.892088604824	1.39570854808	2.35286033518
9	0.146570555129	2.093132441242536	0.552501820004	0.888738900032	1.39444631287	2.32117190541
10	0.141274780687	1.8300399430420087	0.539266538	0.870386089895	1.21249454317	2.06426238004
11	0.136830418345	1.785030623799876	0.530876585727	0.855103972706	1.29549588607	2.1279275888
12	0.138417587072	1.570158971739667	0.533758699554	0.85573203935	1.1873943642	1.92647416823
