Pred_Len	Avg_Test_Loss	Test_AvgD_Error	Test_FinalDisp_Error
2	13.728751420974731	4.62005148643	4.6986987568
3	13.211730999733085	4.56349046805	4.74426073007
4	14.077888788715486	4.69678237463	4.85562416979
5	14.281922859058046	4.71530544219	4.95210528749
6	14.702624410953161	4.75704891395	5.07279114841
7	13.914153527240364	4.62253777729	5.05460483017
8	14.382763714260525	4.7080368363	5.09697813717
9	14.403968578431664	4.71711662917	5.10059289612
10	13.081943176888132	4.50635101406	4.99640952594
11	14.223829746246338	4.66423883302	5.0709010428
12	14.831014602415022	4.7688271973	5.15749424691
Pred_Len	Avg_Test_Loss	Test_AvgD_Error	Test_FinalDisp_Error
2	2.547488864925173	1.89016237368	2.09570763429
3	2.904969722477358	2.01999724608	2.36033761679
4	3.3176658230443157	2.1512165794	2.65542824826
5	3.625578855213366	2.24415226755	2.88181239458
6	3.9008596955605275	2.31718078306	3.08785418755
7	4.100330250603812	2.36669295385	3.24227943244
8	4.281142557991876	2.3992987526	3.38234325354
9	4.337688195996169	2.40451627517	3.42362993763
10	4.335292107350117	2.39568496727	3.4689149079
11	4.133136749267578	2.33449775388	3.36853117461
12	3.886532441262276	2.25792284511	3.23352850449
Pred_Len	Avg_Test_Loss	Test_AvgD_Error	Test_FinalDisp_Error
2	0.7693351916238373	0.825036574328	0.959424700985
3	0.8201331220891165	0.864772665667	1.09635671886
4	0.9029054612648196	0.922285926279	1.25011440265
5	1.0142019382781453	0.991762891982	1.39487694185
6	1.2253800983230272	1.06429288408	1.58757043195
7	1.345404634475708	1.11949212373	1.72663930591
8	1.3697799488902092	1.13608189172	1.77675712321
9	1.348788289229075	1.12787715463	1.77357450428
10	1.286363313595454	1.10416618697	1.73769479103
11	1.3372608363628387	1.10118731574	1.67234469132
12	1.4684703350067139	1.09112815713	1.66882950201
Pred_Len	Avg_Test_Loss	Test_AvgD_Error	Test_FinalDisp_Error
2	0.7729339441832375	0.890585255	1.0855616916
3	0.8950693827608357	0.995261553636	1.31195091793
4	1.1564267052382957	1.15659572555	1.72239365105
5	1.4285536880294483	1.30288224504	1.99910926948
6	1.7827781776587168	1.46474253491	2.3818545068
7	2.1247510576248168	1.60227742004	2.64727222881
8	2.3909871935844422	1.68727278304	2.87708345526
9	2.6288858890533446	1.75035649779	3.02113143118
10	2.7596935580174127	1.76306656163	3.05025489499
11	3.157188630104065	1.85958863053	3.21331540535
12	3.4368603910718645	1.8810794451	3.16117941247
Pred_Len	Avg_Test_Loss	Test_AvgD_Error	Test_FinalDisp_Error
2	0.13264742260798812	0.448122676818	0.478637029199
3	0.13392718919093097	0.440541621631	0.4577227629
4	0.15215750009595574	0.463279049337	0.569486617359
5	0.16941761568580804	0.486523277075	0.646466968734
6	0.18996880888133436	0.511566479078	0.712781943266
7	0.20987460792881169	0.535113773756	0.789104806861
8	0.2384368550609535	0.56307341322	0.882151883174
9	0.2663986759588999	0.59339499957	0.956514573397
10	0.2981738710042202	0.625684176761	1.03447553128
11	0.33092300593852997	0.657139004942	1.10327595736
12	0.3810012257490002	0.698722344503	1.18714012649
Pred_Len	Avg_Test_Loss	Test_AvgD_Error	Test_FinalDisp_Error
2	0.5049248875356188	0.831608182389	0.929373924553
3	0.5842386263868083	0.889134216077	1.0717740719
4	0.7067831791028744	0.96975734363	1.29512726832
5	0.8910277105040021	1.06306917254	1.48474482402
6	1.0305489679177602	1.12126153802	1.65855407917
7	1.214999623298645	1.17881260167	1.78454165356
8	1.2800011575222014	1.17344842179	1.82894750552
9	1.4401012400786082	1.21017129798	1.90112161081
10	1.5853168095151584	1.2239116875	1.92790858422
11	2.2278516590595245	1.39638336536	2.18441056155
12	2.3979051538876126	1.42474866339	2.19880091047
Pred_Len	Avg_Test_Loss	Test_AvgD_Error	Test_FinalDisp_Error
2	0.46421639738129633	0.695918406598	0.813182153492
3	0.5421645848647408	0.772255799756	0.998455376382
4	0.6660387690474348	0.866879855967	1.23015573893
5	0.8019471930132972	0.950348457257	1.40332702655
6	0.904461948076884	0.999845595179	1.52633560641
7	1.0046276545524597	1.0376615497	1.58395823566
8	1.0433348774909974	1.03342629136	1.61936622461
9	1.1931410451730093	1.06773193974	1.70453092562
10	1.4386111746231716	1.11076570709	1.80431612374
11	1.7514786928892137	1.19573753215	1.86757973224
12	1.9042955892426627	1.17787805487	1.91199277192
Pred_Len	Avg_Test_Loss	Test_AvgD_Error	Test_FinalDisp_Error
2	0.034793358655775534	0.196721386413	0.233694813898
3	0.045618438385427	0.22451231731	0.304691542776
4	0.05799339525401592	0.251581476374	0.371670422214
5	0.07321109536169755	0.284374913597	0.468137260462
6	0.08989929491463973	0.31596399862	0.543247698233
7	0.11286118035156702	0.353805743465	0.649919571934
8	0.13855739030987024	0.390565060319	0.734705831221
9	0.1733414684471331	0.43309754136	0.852571638683
10	0.2127869520732697	0.477170777799	0.953781044791
11	0.2636095237858752	0.528062755921	1.08741675457
12	0.3198608983588475	0.57834483284	1.2021202606
