Pred_Len	Avg_Test_Loss	Test_AvgD_Error	Test_FinalDisp_Error
2	46.6937077999115	9.17581293165	9.18215444646
3	46.52902755254431	9.14506950572	9.12657333043
4	42.983468885545605	8.79187457842	8.92585147859
5	42.62366929807161	8.76897623537	8.79688667353
6	44.552688495532884	9.02880077373	9.18408452661
7	43.55587029130491	8.93584758447	9.1010958216
8	42.388895007925974	8.78396775034	8.94838566957
9	43.87468035080854	8.96893519714	9.10649513047
10	44.85613944313743	9.08946044958	9.2189239012
11	43.23106687031095	8.93803337802	9.15492068753
12	43.89917767634157	9.01076899889	9.19727085815
Pred_Len	Avg_Test_Loss	Test_AvgD_Error	Test_FinalDisp_Error
2	44.504031162635954	8.83455120616	9.0158308051
3	46.301317007645316	9.03980685868	9.40069263386
4	46.46435002582829	9.06773698018	9.52760897351
5	46.198706203036835	9.03073001237	9.75513722204
6	45.93919347127279	9.005874117	9.77011383577
7	45.20073707580566	8.93439102334	9.84426399894
8	46.568061637878415	9.07008795013	9.97137523454
9	50.035953776041666	9.49205813226	10.3494579492
10	49.34252675374349	9.41086467257	10.3848027129
11	51.688665580749515	9.73796902733	10.7004481321
12	54.887681688581196	10.088021052	11.1020089321
